fecha,alegria,tristeza,ira,miedo,sorpresa,neutral,n_total,pct_alegria,pct_tristeza,pct_ira,pct_miedo,pct_sorpresa,pct_neutral,ganador_del_dia,intensidad
2025-09-04,10,16,3,4,8,9,50,20.0,32.0,6.0,8.0,16.0,18.0,tristeza,32.0
2025-09-05,16,13,2,2,9,8,50,32.0,26.0,4.0,4.0,18.0,16.0,alegria,32.0
2025-09-06,10,14,3,6,10,7,50,20.0,28.0,6.0,12.0,20.0,14.0,tristeza,28.0
2025-09-07,9,17,3,3,13,5,50,18.0,34.0,6.0,6.0,26.0,10.0,tristeza,34.0
2025-09-08,11,17,1,10,5,6,50,22.0,34.0,2.0,20.0,10.0,12.0,tristeza,34.0
2025-09-09,13,9,1,5,6,16,50,26.0,18.0,2.0,10.0,12.0,32.0,alegria,26.0
2025-09-10,17,15,3,1,10,4,50,34.0,30.0,6.0,2.0,20.0,8.0,alegria,34.0
2025-09-11,11,15,6,7,6,5,50,22.0,30.0,12.0,14.0,12.0,10.0,tristeza,30.0
2025-09-12,8,16,2,6,11,7,50,16.0,32.0,4.0,12.0,22.0,14.0,tristeza,32.0
2025-09-13,8,14,6,4,7,11,50,16.0,28.0,12.0,8.0,14.0,22.0,tristeza,28.0
2025-09-14,11,14,5,5,8,7,50,22.0,28.0,10.0,10.0,16.0,14.0,tristeza,28.0
2025-09-15,10,13,2,7,8,10,50,20.0,26.0,4.0,14.0,16.0,20.0,tristeza,26.0
2025-09-16,12,14,2,1,14,7,50,24.0,28.0,4.0,2.0,28.0,14.0,tristeza,28.0
2025-09-17,18,15,4,3,4,6,50,36.0,30.0,8.0,6.0,8.0,12.0,alegria,36.0
2025-09-18,16,18,3,1,6,6,50,32.0,36.0,6.0,2.0,12.0,12.0,tristeza,36.0
2025-09-19,13,9,2,4,9,13,50,26.0,18.0,4.0,8.0,18.0,26.0,alegria,26.0
2025-09-20,16,13,2,1,12,6,50,32.0,26.0,4.0,2.0,24.0,12.0,alegria,32.0
2025-09-21,14,17,3,2,10,4,50,28.0,34.0,6.0,4.0,20.0,8.0,tristeza,34.0
2025-09-22,11,16,3,5,7,8,50,22.0,32.0,6.0,10.0,14.0,16.0,tristeza,32.0
2025-09-23,14,12,4,3,8,9,50,28.0,24.0,8.0,6.0,16.0,18.0,alegria,28.0
2025-09-24,15,16,2,7,7,3,50,30.0,32.0,4.0,14.0,14.0,6.0,tristeza,32.0
2025-09-25,7,21,1,3,10,8,50,14.0,42.0,2.0,6.0,20.0,16.0,tristeza,42.0
2025-09-26,14,13,4,4,11,4,50,28.0,26.0,8.0,8.0,22.0,8.0,alegria,28.0
2025-09-27,9,12,3,1,13,12,50,18.0,24.0,6.0,2.0,26.0,24.0,sorpresa,26.0
2025-09-28,18,16,4,1,6,5,50,36.0,32.0,8.0,2.0,12.0,10.0,alegria,36.0
2025-09-29,15,13,5,7,6,4,50,30.0,26.0,10.0,14.0,12.0,8.0,alegria,30.0
2025-09-30,16,15,4,0,14,1,50,32.0,30.0,8.0,0.0,28.0,2.0,alegria,32.0
2025-10-01,12,15,3,6,8,6,50,24.0,30.0,6.0,12.0,16.0,12.0,tristeza,30.0
2025-10-02,13,11,4,5,6,11,50,26.0,22.0,8.0,10.0,12.0,22.0,alegria,26.0
2025-10-03,10,17,1,6,7,9,50,20.0,34.0,2.0,12.0,14.0,18.0,tristeza,34.0
