tavg,tmin,tmax,prcp,wspd,pres,date
29.4,24.7,35.1,0.0,7.6,1012.7,2024-09-09
30.7,25.8,36.8,4.9,6.8,1017.6,2024-09-10
27.0,22.1,33.0,0.0,3.3,1008.4,2024-09-11
28.6,23.8,34.5,0.7,3.2,1003.6,2024-09-12
29.9,24.7,36.1,0.0,4.3,1006.3,2024-09-13
28.7,23.9,34.6,0.0,9.4,1011.2,2024-09-14
27.9,22.8,34.0,0.0,10.9,1015.6,2024-09-15
28.4,23.5,34.4,0.0,10.0,1006.6,2024-09-16
28.4,23.2,34.9,0.0,8.5,1012.9,2024-09-17
30.0,25.2,35.9,0.0,9.9,1009.5,2024-09-18
30.0,25.0,36.2,0.0,7.7,1017.4,2024-09-19
27.8,22.6,34.1,0.0,3.4,1007.9,2024-09-20
30.4,25.4,36.5,0.2,10.0,1006.4,2024-09-21
28.1,23.5,33.7,0.0,11.1,1017.2,2024-09-22
28.9,24.2,34.6,0.0,11.4,1015.7,2024-09-23
29.0,24.2,34.8,0.0,4.7,1019.1,2024-09-24
27.9,23.0,33.8,0.0,10.4,1011.0,2024-09-25
29.5,24.4,35.7,17.5,4.2,1009.8,2024-09-26
27.1,21.9,33.5,7.6,7.0,1006.1,2024-09-27
29.0,24.1,35.0,0.0,5.8,1005.5,2024-09-28
29.3,24.4,35.4,0.0,9.2,1011.7,2024-09-29
29.2,24.6,34.8,0.7,7.8,1000.3,2024-09-30
27.6,22.2,34.0,0.0,11.4,1010.8,2024-10-01
26.0,20.5,32.8,0.0,7.9,1017.6,2024-10-02
24.0,18.6,30.5,4.8,4.8,1016.7,2024-10-03
27.7,22.3,34.4,0.0,5.3,1013.1,2024-10-04
25.8,19.8,33.1,0.0,9.6,1012.8,2024-10-05
25.6,20.3,32.1,0.0,5.7,1010.2,2024-10-06
25.1,19.8,31.7,0.0,5.7,1016.8,2024-10-07
24.7,19.6,30.8,0.0,5.7,1005.9,2024-10-08
24.3,18.7,31.2,0.0,4.5,1014.5,2024-10-09
26.2,21.1,32.6,7.1,3.5,1004.8,2024-10-10
27.2,21.3,34.3,0.0,4.6,1007.4,2024-10-11
25.6,20.3,32.0,0.0,5.7,1010.6,2024-10-12
26.4,21.2,32.8,0.0,9.9,1014.2,2024-10-13
27.8,22.3,34.5,0.0,3.2,1014.3,2024-10-14
26.2,20.4,33.3,0.0,9.4,1011.4,2024-10-15
25.1,19.9,31.4,0.0,3.2,1009.1,2024-10-16
26.3,21.0,32.7,0.0,6.7,1008.7,2024-10-17
25.3,20.2,31.5,0.0,7.3,1017.7,2024-10-18
26.6,21.0,33.4,0.0,6.3,1016.5,2024-10-19
25.1,19.7,31.9,0.0,3.6,1008.2,2024-10-20
24.5,18.8,31.4,0.0,7.2,1016.2,2024-10-21
27.1,21.9,33.4,0.0,4.1,1011.5,2024-10-22
26.3,20.9,32.9,0.0,3.8,1010.4,2024-10-23
26.7,20.9,33.8,0.0,5.0,1010.6,2024-10-24
25.3,20.3,31.5,0.0,11.7,1005.5,2024-10-25
24.5,19.2,31.0,0.0,5.6,1015.8,2024-10-26
27.0,22.0,33.1,0.0,7.8,1010.0,2024-10-27
27.1,21.6,33.8,0.0,9.7,1024.2,2024-10-28
25.2,19.5,32.0,0.0,10.3,1006.6,2024-10-29
27.2,21.9,33.7,0.0,6.7,1006.8,2024-10-30
26.2,20.8,32.7,0.0,6.8,1024.2,2024-10-31
21.9,16.9,27.9,0.0,10.2,1012.1,2024-11-01
21.2,16.2,27.3,0.0,10.9,998.4,2024-11-02
22.7,17.1,29.6,4.0,4.0,1012.5,2024-11-03
22.6,17.1,29.3,0.0,7.4,1017.2,2024-11-04
22.5,16.9,29.4,0.0,8.5,1008.6,2024-11-05
19.8,14.8,25.9,0.0,7.2,1014.2,2024-11-06
21.6,16.5,27.8,0.0,4.5,1013.6,2024-11-07
22.2,17.1,28.4,0.0,8.6,1012.4,2024-11-08
22.2,16.6,29.0,0.0,10.0,1007.3,2024-11-09
20.5,15.0,27.3,0.0,5.8,1020.4,2024-11-10
22.5,17.0,29.3,0.0,3.7,1015.0,2024-11-11
23.1,17.9,29.4,0.0,8.2,1015.0,2024-11-12
20.2,14.6,27.1,0.0,4.3,1005.2,2024-11-13
22.2,16.8,28.8,0.0,8.9,1011.7,2024-11-14
21.0,15.4,27.9,0.0,6.6,1016.3,2024-11-15
22.2,16.4,29.2,0.0,11.0,1012.2,2024-11-16
20.9,15.6,27.5,0.0,4.5,1012.2,2024-11-17
22.1,16.6,28.8,0.0,8.8,1011.2,2024-11-18
22.0,16.8,28.4,1.8,7.8,1004.7,2024-11-19
23.8,18.6,30.3,0.0,9.8,1015.0,2024-11-20
23.2,17.8,29.8,0.0,3.3,1013.0,2024-11-21
23.7,18.4,30.2,0.0,7.2,1016.9,2024-11-22
21.2,16.0,27.6,8.4,9.7,1012.2,2024-11-23
