date,is_payday,is_holiday,is_benefit_payment,homicidios,Promedio Móvil de Homicidios(7 días),Robo de Vehiculos,tavg,tmin,tmax,prcp,wspd,pres,precio_dolar,dolar_alto,temp_range,llovio_hoy,lluvia_fuerte,is_weekend,day_of_week,day_of_month,month,day_of_year,dia_semana,mes,trimestre,dia_mes,semana_año,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,es_fin_semana,es_lunes,es_viernes
09/09/2024,0.0,0,0.0,4,1.7142857142857142,,25.6,17.9,29.9,0.1,9.2,1012.3,19.940200805664062,1,12.0,1,0,0,0,9,9,253,0,9,3,9,37,0.0,1.0,-1.0,-1.8369701987210294e-16,0,1,0
10/09/2024,0.0,0,0.0,4,2.142857142857143,,31.4,26.4,38.0,0.3,9.6,1013.9,19.89137077331543,1,11.6,1,0,0,1,10,9,254,1,9,3,10,37,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210294e-16,0,0,0
11/09/2024,0.0,0,0.0,1,1.7142857142857142,,21.9,16.2,29.5,0.6,11.7,1018.2,20.08941078186035,1,13.3,1,0,0,2,11,9,255,2,9,3,11,37,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210294e-16,0,0,0
12/09/2024,0.0,0,0.0,3,1.8571428571428568,,31.1,24.2,38.6,0.5,2.7,1013.0,19.79590034484864,1,14.400000000000002,1,0,0,3,12,9,256,3,9,3,12,37,0.4338837391175582,-0.900968867902419,-1.0,-1.8369701987210294e-16,0,0,0
13/09/2024,0.0,0,0.0,7,2.7142857142857144,,31.7,24.8,38.0,2.1,3.9,1010.6,19.52079963684082,0,13.2,1,0,0,4,13,9,257,4,9,3,13,37,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1
14/09/2024,0.0,0,0.0,3,3.142857142857143,,23.9,16.0,27.2,0.2,5.4,1016.5,19.5208,0,11.2,1,0,1,5,14,9,258,5,9,3,14,37,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210294e-16,1,0,0
15/09/2024,1.0,0,0.0,14,5.142857142857143,,26.3,18.8,34.1,1.1,3.9,1012.7,19.1522,0,15.3,1,0,1,6,15,9,259,6,9,3,15,37,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,1,0,0
16/09/2024,0.0,1,0.0,2,4.857142857142857,,28.0,24.1,33.8,0.5,5.4,1014.2,19.15220069885254,0,9.699999999999996,1,0,0,0,16,9,260,0,9,3,16,38,0.0,1.0,-1.0,-1.8369701987210294e-16,0,1,0
17/09/2024,0.0,0,0.0,4,4.857142857142857,,26.4,20.2,30.2,0.6,7.7,1016.7,19.20560073852539,0,10.0,1,0,0,1,17,9,261,1,9,3,17,38,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210294e-16,0,0,0
18/09/2024,0.0,0,0.0,8,5.857142857142857,,20.1,12.4,26.3,0.5,8.7,1019.3,19.11553001403809,0,13.9,1,0,0,2,18,9,262,2,9,3,18,38,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210294e-16,0,0,0
19/09/2024,0.0,0,0.0,6,6.285714285714286,,23.2,15.3,28.5,0.4,8.4,1010.2,19.24327087402344,0,13.2,1,0,0,3,19,9,263,3,9,3,19,38,0.4338837391175582,-0.900968867902419,-1.0,-1.8369701987210294e-16,0,0,0
20/09/2024,0.0,0,0.0,6,6.142857142857143,,32.1,27.2,39.6,0.3,8.2,1015.3,19.299999237060547,0,12.400000000000002,1,0,0,4,20,9,264,4,9,3,20,38,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1
21/09/2024,0.0,0,0.0,7,6.714285714285714,,24.1,18.8,27.9,0.7,8.4,1010.3,19.3,0,9.099999999999998,1,0,1,5,21,9,265,5,9,3,21,38,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210294e-16,1,0,0
22/09/2024,0.0,0,0.0,3,5.142857142857143,,24.3,19.3,29.9,0.6,6.2,1011.4,19.3766,0,10.599999999999998,1,0,1,6,22,9,266,6,9,3,22,38,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,1,0,0
23/09/2024,0.0,0,0.0,1,5.0,,21.8,18.2,25.4,0.3,11.5,1010.6,19.37656021118164,0,7.199999999999999,1,0,0,0,23,9,267,0,9,3,23,39,0.0,1.0,-1.0,-1.8369701987210294e-16,0,1,0
